respondent,mainbranch,age,country,edlevel,employment,yearscodepro,languageworkedwith,databaseworkedwith,platformworkedwith
4,I am a developer by profession,22.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,Less than 1 year,C;C++;C#;Python;SQL,MySQL;SQLite,Linux;Windows
9,I am a developer by profession,23.0,New Zealand,Some college/university study without earning a degree,Employed full-time,4,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;Python;Ruby;Rust;SQL;TypeScript;WebAssembly;Other(s):,DynamoDB;PostgreSQL;SQLite,AWS;Docker;Heroku;Linux;MacOS;Slack
13,I am a developer by profession,28.0,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,8,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;SQL;TypeScript,Couchbase;DynamoDB;Firebase;MySQL,Android;AWS;Docker;IBM Cloud or Watson;iOS;Linux;MacOS;Microsoft Azure;Slack;Windows;WordPress
16,I am a developer by profession,26.0,United Kingdom,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,3,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;TypeScript;VBA,MongoDB;Microsoft SQL Server;MySQL,
17,I am a developer by profession,29.0,Australia,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,2,Bash/Shell/PowerShell;HTML/CSS;JavaScript;TypeScript,MongoDB;PostgreSQL,Arduino;Docker;Heroku;Raspberry Pi;WordPress
19,I am a developer by profession,31.0,Brazil,Some college/university study without earning a degree,Employed full-time,13,C#;HTML/CSS;Java;JavaScript;SQL;TypeScript,DynamoDB;Firebase;Microsoft SQL Server;MySQL;SQLite,Android;AWS;Microsoft Azure
20,"I am not primarily a developer, but I write code sometimes as part of my work",38.0,Lithuania,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,4,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;PHP;Python;R;SQL,Elasticsearch;MariaDB;MongoDB;Microsoft SQL Server,Android;Docker;Windows;WordPress
22,I am a developer by profession,47.0,United States,Some college/university study without earning a degree,Employed full-time,18,Bash/Shell/PowerShell;C++;HTML/CSS;JavaScript;Python;Ruby;SQL;TypeScript,Elasticsearch;MySQL;Oracle;Redis,Docker;Linux;Raspberry Pi;Windows
23,I am a developer by profession,22.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,1,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Python;Ruby;SQL,Oracle;SQLite,Docker;Google Cloud Platform
24,I am a developer by profession,23.0,Israel,Primary/elementary school,Employed full-time,1,HTML/CSS;JavaScript;PHP;TypeScript,Firebase;MongoDB;MySQL,AWS;WordPress
25,I am a developer by profession,22.0,South Africa,Associate degree,Employed full-time,1,HTML/CSS;JavaScript;PHP;SQL;TypeScript,MySQL,Linux;Windows
